uniqueID,drugName,condition,rating,date,usefulCount
2,Medroxyprogesterone,Amenorrhea,10,42304,11
3,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42304,7
4,Medroxyprogesterone,Birth Control,9,42303,12
5,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42302,4
7,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42299,6
8,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42298,2
9,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42298,5
10,Medroxyprogesterone,Abnormal Uterine Bleeding,7,42297,2
12,Medroxyprogesterone,Abnormal Uterine Bleeding,3,42295,7
14,Medroxyprogesterone,Birth Control,2,42294,7
16,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42292,8
18,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42291,4
22,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42287,5
24,Medroxyprogesterone,Birth Control,5,42287,2
25,Medroxyprogesterone,Birth Control,3,42332,2
28,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42331,17
29,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42330,26
30,Medroxyprogesterone,Endometrial Hyperplasia Prophylaxis,9,42327,6
31,Medroxyprogesterone,Birth Control,1,42327,0
34,Medroxyprogesterone,Birth Control,1,42326,3
35,Medroxyprogesterone,Birth Control,1,42326,0
37,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42326,1
38,Medroxyprogesterone,Endometriosis,9,42325,14
39,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42324,25
41,Medroxyprogesterone,Birth Control,10,42323,6
42,Medroxyprogesterone,Birth Control,5,42323,3
44,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42322,15
45,Medroxyprogesterone,Birth Control,5,42322,12
46,Medroxyprogesterone,Birth Control,9,42321,4
47,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42321,7
52,Medroxyprogesterone,Birth Control,10,42374,5
55,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42373,5
58,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42371,13
59,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42368,9
60,Medroxyprogesterone,Birth Control,5,42366,4
61,Medroxyprogesterone,Birth Control,1,42365,3
62,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42365,1
63,Medroxyprogesterone,Birth Control,1,42362,4
66,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42359,17
67,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42358,8
68,Medroxyprogesterone,Birth Control,1,42357,4
69,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42356,11
71,Medroxyprogesterone,Birth Control,1,42355,0
72,Medroxyprogesterone,Birth Control,8,42355,0
74,Medroxyprogesterone,Birth Control,10,42353,5
77,Medroxyprogesterone,Birth Control,1,42319,2
78,Medroxyprogesterone,Birth Control,2,42319,2
80,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42317,6
81,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42317,4
82,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42316,19
83,Medroxyprogesterone,Birth Control,7,42316,4
84,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42314,8
85,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42313,7
86,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42313,11
87,Medroxyprogesterone,Birth Control,1,42313,3
88,Medroxyprogesterone,Birth Control,8,42311,8
89,Medroxyprogesterone,Birth Control,10,42311,4
91,Medroxyprogesterone,Birth Control,10,42310,2
92,Medroxyprogesterone,Abnormal Uterine Bleeding,7,42309,12
93,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42309,15
94,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42307,6
95,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42307,11
96,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42307,31
99,Medroxyprogesterone,Birth Control,3,42305,0
100,Medroxyprogesterone,Birth Control,5,42233,2
101,Medroxyprogesterone,Birth Control,10,42231,17
102,Medroxyprogesterone,Birth Control,10,42230,5
103,Medroxyprogesterone,Birth Control,2,42230,7
104,Medroxyprogesterone,Endometriosis,1,42229,18
106,Medroxyprogesterone,Birth Control,10,42226,1
107,Medroxyprogesterone,Birth Control,4,42226,1
108,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42226,10
110,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42225,24
111,Medroxyprogesterone,Abnormal Uterine Bleeding,4,42225,33
112,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42224,23
113,Medroxyprogesterone,Amenorrhea,6,42223,12
114,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42223,24
115,Medroxyprogesterone,Birth Control,2,42222,5
116,Medroxyprogesterone,Amenorrhea,7,42222,9
117,Medroxyprogesterone,Birth Control,1,42219,8
118,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42219,51
119,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42217,56
120,Medroxyprogesterone,Birth Control,8,42217,8
121,Medroxyprogesterone,Birth Control,5,42216,1
122,Medroxyprogesterone,Birth Control,5,42211,1
123,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42211,10
124,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42210,14
126,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42350,19
127,Medroxyprogesterone,Birth Control,1,42350,4
128,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42350,34
129,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42349,27
132,Medroxyprogesterone,Endometriosis,5,42347,4
134,Medroxyprogesterone,Birth Control,1,42346,1
135,Medroxyprogesterone,Abnormal Uterine Bleeding,8,42346,6
137,Medroxyprogesterone,Endometriosis,2,42345,5
138,Medroxyprogesterone,Abnormal Uterine Bleeding,6,42345,6
139,Medroxyprogesterone,Birth Control,2,42344,3
140,Medroxyprogesterone,Birth Control,1,42342,5
141,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42342,21
143,Medroxyprogesterone,Birth Control,7,42340,4
144,Medroxyprogesterone,Birth Control,8,42339,3
148,Medroxyprogesterone,Birth Control,3,42335,3
151,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42274,12
152,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42272,17
153,Medroxyprogesterone,Birth Control,1,42270,1
156,Medroxyprogesterone,Amenorrhea,7,42269,24
159,Medroxyprogesterone,Abnormal Uterine Bleeding,9,42266,35
160,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42265,19
161,Medroxyprogesterone,Birth Control,9,42265,5
162,Medroxyprogesterone,Abnormal Uterine Bleeding,2,42264,6
163,Medroxyprogesterone,Abnormal Uterine Bleeding,3,42264,15
164,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42263,7
166,Medroxyprogesterone,Birth Control,1,42261,1
167,Medroxyprogesterone,Birth Control,4,42260,3
168,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42260,16
170,Medroxyprogesterone,Abnormal Uterine Bleeding,5,42258,8
171,Medroxyprogesterone,Birth Control,1,42258,4
172,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42258,8
174,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42255,25
176,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42254,14
177,Medroxyprogesterone,Abnormal Uterine Bleeding,10,42250,20
178,Medroxyprogesterone,Abnormal Uterine Bleeding,3,42250,9
183,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42245,10
185,Medroxyprogesterone,Birth Control,8,42244,2
187,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42243,5
188,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42241,5
189,Medroxyprogesterone,Abnormal Uterine Bleeding,1,42241,6
